Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Native Hawaiian/Pacific Islander,0,4,0,0,0
Not Native Hawaiian/Pacific Islander,139,292,121,131,44
