Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Democrat,101,204,74,80,31
Republican,8,19,7,4,0
Independent,14,45,16,22,4
Other,19,27,24,25,8
