Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Heterosexual,66,244,204,55,3
Gay,10,25,11,9,0
Bisexual,3,38,18,16,1
Other,3,14,10,7,1
