Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Heterosexual,116,227,97,102,28
Gay,9,25,9,9,3
Bisexual,10,35,10,13,7
Other,5,9,7,8,6
