Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Stronly disagree
Heterosexual,62,81,210,143,0
Gay,5,15,14,15,0
Bisexual,5,14,19,28,0
Other,3,5,6,8,0
