Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Stronly disagree
Very comfortable,21,22,48,29,0
Somewhat comfortable,30,54,104,77,0
No opinion,10,16,44,32,0
Somewhat uncomfortable,9,18,38,48,0
Very uncomfortable,6,4,12,7,0
