Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
Very comfortable,0,139
Somewhat comfortable,4,292
No opinion,0,121
Somewhat uncomfortable,0,131
Very uncomfortable,0,44
