Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very comfortable,77,7,25,26,6
Somewhat comfortable,167,15,51,42,22
No opinion,76,8,14,15,9
Somewhat uncomfortable,54,11,29,25,13
Very uncomfortable,14,3,10,12,5
