Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Very comfortable,142,0,0,0,0
Somewhat comfortable,0,297,0,0,0
No opinion,0,0,123,0,0
Somewhat uncomfortable,0,0,0,132,0
Very uncomfortable,0,0,0,0,44
