Option,Heterosexual,Gay,Bisexual,Other
Very comfortable,116,9,10,5
Somewhat comfortable,227,25,35,9
No opinion,97,9,10,7
Somewhat uncomfortable,102,9,13,8
Very uncomfortable,28,3,7,6
