Option,"Physical Sciences (incl. math, CS)","Not Physical Sciences (incl. math, CS)"
Very comfortable,0,41
Somewhat comfortable,0,83
No opinion,0,39
Somewhat uncomfortable,0,53
Very uncomfortable,0,16
