Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Very comfortable,31,70,33,8,0
Somewhat comfortable,26,148,83,36,1
No opinion,15,36,60,10,1
Somewhat uncomfortable,7,55,46,21,2
Very uncomfortable,1,14,16,12,1
