Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
First-year,57,101,44,38,10
Sophomore,42,90,36,40,15
Junior,27,58,21,27,6
Senior,16,46,21,26,13
