Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,55,125,177,31,3
Just loans,7,6,25,4,2
Grants and loans,21,44,56,9,1
"Grants, covering some costs",26,44,46,6,1
"Grants, covering all costs",10,28,12,5,0
