Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
None,391,0,0,0,0
Just loans,0,44,0,0,0
Grants and loans,0,0,131,0,0
"Grants, covering some costs",0,0,0,123,0
"Grants, covering all costs",0,0,0,0,55
