Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,13,67,161,130,20
Just loans,0,5,13,23,3
Grants and loans,1,25,44,45,16
"Grants, covering some costs",0,33,34,46,8
"Grants, covering all costs",2,7,24,19,3
