Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
None,77,167,76,54,14
Just loans,7,15,8,11,3
Grants and loans,25,51,14,29,10
"Grants, covering some costs",26,42,15,25,12
"Grants, covering all costs",6,22,9,13,5
