Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,49,166,130,43,1
Just loans,2,19,12,10,1
Grants and loans,16,60,39,13,1
"Grants, covering some costs",10,56,40,14,2
"Grants, covering all costs",5,23,20,7,0
