Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,82,0,0,0,0
Somewhat approve,0,324,0,0,0
No opinion,0,0,243,0,0
Somewhat disapprove,0,0,0,87,0
Strongly disapprove,0,0,0,0,5
