Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,31,26,15,7,1
Somewhat approve,70,148,36,55,14
No opinion,33,83,60,46,16
Somewhat disapprove,8,36,10,21,12
Strongly disapprove,0,1,1,2,1
