Option,Heterosexual,Gay,Bisexual,Other
Strongly approve,66,10,3,3
Somewhat approve,244,25,38,14
No opinion,204,11,18,10
Somewhat disapprove,55,9,16,7
Strongly disapprove,3,0,1,1
