Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,9,28,30,13,1
Somewhat approve,4,85,115,111,9
No opinion,3,22,116,81,20
Somewhat disapprove,0,1,14,55,17
Strongly disapprove,0,0,0,2,3
