Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,49,2,16,10,5
Somewhat approve,166,19,60,56,23
No opinion,130,12,39,40,20
Somewhat disapprove,43,10,13,14,7
Strongly disapprove,1,1,1,2,0
