Option,"Physical Sciences (incl. math, CS)","Not Physical Sciences (incl. math, CS)"
Strongly approve,0,20
Somewhat approve,0,108
No opinion,0,70
Somewhat disapprove,0,35
Strongly disapprove,0,2
