Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,28,26,26,2,0
Somewhat approve,61,124,116,20,3
No opinion,18,66,136,20,2
Somewhat disapprove,12,27,33,13,2
Strongly disapprove,0,2,3,0,0
