Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Stronly disagree
Strongly approve,17,16,28,11,0
Somewhat approve,31,45,101,89,0
No opinion,22,43,92,60,0
Somewhat disapprove,7,9,25,32,0
Strongly disapprove,0,1,1,1,0
