Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,28,61,18,12,0
Somewhat approve,26,124,66,27,2
No opinion,26,116,136,33,3
Somewhat disapprove,2,20,20,13,0
Strongly disapprove,0,3,2,2,0
