Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,55,7,21,26,10
Somewhat approve,125,6,44,44,28
No opinion,177,25,56,46,12
Somewhat disapprove,31,4,9,6,5
Strongly disapprove,3,2,1,1,0
