Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,9,30,32,42,6
Somewhat approve,3,55,84,87,18
No opinion,4,40,142,115,14
Somewhat disapprove,0,11,17,17,10
Strongly disapprove,0,2,1,2,2
