Option,"Physical Sciences (incl. math, CS)","Not Physical Sciences (incl. math, CS)"
Strongly approve,0,41
Somewhat approve,0,75
No opinion,0,101
Somewhat disapprove,0,17
Strongly disapprove,0,1
