Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,30,43,16,23,7
Somewhat approve,50,108,29,43,15
No opinion,52,119,70,57,15
Somewhat disapprove,9,23,7,9,5
Strongly disapprove,1,4,0,0,2
