Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Stronly disagree
Strongly approve,16,22,40,22,0
Somewhat approve,25,38,72,71,0
No opinion,27,46,122,80,0
Somewhat disapprove,9,7,12,21,0
Strongly disapprove,0,2,3,0,0
