Option,"Physical Sciences (incl. math, CS)","Not Physical Sciences (incl. math, CS)"
Strongly approve,0,6
Somewhat approve,0,36
No opinion,0,81
Somewhat disapprove,0,87
Strongly disapprove,0,23
