Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,16,0,0,0,0
Somewhat approve,0,138,0,0,0
No opinion,0,0,276,0,0
Somewhat disapprove,0,0,0,264,0
Strongly disapprove,0,0,0,0,50
