Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,8,6,1,1,0
Somewhat approve,35,62,16,15,9
No opinion,48,116,50,48,12
Somewhat disapprove,46,100,45,59,14
Strongly disapprove,5,13,11,9,9
