Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Stronly disagree
Strongly approve,3,5,5,1,0
Somewhat approve,19,26,38,38,0
No opinion,26,36,123,62,0
Somewhat disapprove,24,41,72,79,0
Strongly disapprove,4,7,11,14,0
