Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,13,0,1,0,2
Somewhat approve,67,5,25,33,7
No opinion,161,13,44,34,24
Somewhat disapprove,130,23,45,46,19
Strongly disapprove,20,3,16,8,3
