Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,9,4,3,0,0
Somewhat approve,28,85,22,1,0
No opinion,30,115,116,14,0
Somewhat disapprove,13,111,81,55,2
Strongly disapprove,1,9,20,17,3
