Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Stronly disagree
Strongly agree,77,0,0,0,0
Somewhat agree,0,115,0,0,0
No opinion,0,0,250,0,0
Somewhat disagree,0,0,0,194,0
Stronly disagree,0,0,0,0,0
