Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,16,25,27,9,0
Somewhat agree,22,38,46,7,2
No opinion,40,72,122,12,3
Somewhat disagree,22,71,80,21,0
Stronly disagree,0,0,0,0,0
