Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,48,1,9,11,8
Somewhat agree,60,5,20,23,7
No opinion,134,14,47,38,16
Somewhat disagree,96,19,31,28,19
Stronly disagree,0,0,0,0,0
