Option,Heterosexual,Gay,Bisexual,Other
Strongly agree,62,5,5,3
Somewhat agree,81,15,14,5
No opinion,210,14,19,6
Somewhat disagree,143,15,28,8
Stronly disagree,0,0,0,0
