Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,17,31,22,7,0
Somewhat agree,16,45,43,9,1
No opinion,28,101,92,25,1
Somewhat disagree,11,89,60,32,1
Stronly disagree,0,0,0,0,0
