Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
"Physical Sciences (incl. math, CS)",0,0,0,0,0
"Not Physical Sciences (incl. math, CS)",41,75,101,17,1
