Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
"Physical Sciences (incl. math, CS)",0,0,0,0,0
"Not Physical Sciences (incl. math, CS)",20,108,70,35,2
