Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
"Physical Sciences (incl. math, CS)",0,0,0,0,0
"Not Physical Sciences (incl. math, CS)",41,83,39,53,16
