Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
"Physical Sciences (incl. math, CS)",0,0,0,0,0
"Not Physical Sciences (incl. math, CS)",6,36,81,87,23
